Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Viscosity, cP",Reference (DOI)
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,303.15,655.1,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,313.15,300.2,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,323.15,151.7,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,333.15,83.7,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,343.15,48.5,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,353.15,29.7,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,293.15,1571,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,303.15,644,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,313.15,296.7,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,323.15,147.8,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,333.15,79.6,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,343.15,45.6,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,353.15,28.2,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,303.15,304.69,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,313.15,153.71,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,323.15,83.06,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,333.15,46.48,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,343.15,27.73,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,353.15,14.51,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,363.15,8.37,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,303.15,335.98,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,313.15,189.19,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,323.15,98.8,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,333.15,57.92,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,343.15,35.77,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,353.15,25.74,10.1021/acs.iecr.7b02478
