Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),I,II,III,IV,V,"Temperature, K","VdWVolume, A^3#1","VdWVolume, A^3#2","VdWVolume, A^3#3",NumHeteroatoms,RingCount,InertialShapeFactor,SpherocityIndex,Metal_frac_gen,Li,C,N,O,F,Mg,Al,P,S,Cl,K,Cr,Fe,Co,Cu,Zn,Br,train/test,"Viscosity, cP",Reference (DOI),"Viscosity_prediction, cP"
CHOLINE CHLORIDE,m-cresol,0,0.2,0.8,0,0,0,1,0,0,338.15,-22.68236862,33.67668393,0,3,0,0.004145815816,0.463396085,0,0,6.6,0.2,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,test,10.82,10.1016/j.molliq.2022.120420,10.3532847
CHOLINE CHLORIDE,m-cresol,0,0.2,0.8,0,0,0,1,0,0,343.15,-22.68236862,33.67668393,0,3,0,0.004145815816,0.463396085,0,0,6.6,0.2,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,test,9.36,10.1016/j.molliq.2022.120420,8.70709638
CHOLINE CHLORIDE,m-cresol,0,0.2,0.8,0,0,0,1,0,0,348.15,-22.68236862,33.67668393,0,3,0,0.004145815816,0.463396085,0,0,6.6,0.2,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,test,8.15,10.1016/j.molliq.2022.120420,7.688411215
CHOLINE CHLORIDE,m-cresol,0,0.2,0.8,0,0,0,1,0,0,353.15,-22.68236862,33.67668393,0,3,0,0.004145815816,0.463396085,0,0,6.6,0.2,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,test,7.17,10.1016/j.molliq.2022.120420,6.985749596
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,293.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,51.3,10.1016/j.molliq.2022.120420,44.66486668
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,298.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,39.12,10.1016/j.molliq.2022.120420,31.81128292
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,303.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,30.49,10.1016/j.molliq.2022.120420,28.51497678
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,308.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,24.24,10.1016/j.molliq.2022.120420,23.55368729
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,313.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,19.67,10.1016/j.molliq.2022.120420,15.18752597
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,318.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,16.17,10.1016/j.molliq.2022.120420,13.34397659
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,323.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,13.55,10.1016/j.molliq.2022.120420,11.54213109
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,328.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,11.69,10.1016/j.molliq.2022.120420,10.68494273
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,333.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,9.74,10.1016/j.molliq.2022.120420,9.339438786
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,338.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,8.4,10.1016/j.molliq.2022.120420,8.548129113
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,343.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,7.32,10.1016/j.molliq.2022.120420,7.108625758
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,348.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,6.42,10.1016/j.molliq.2022.120420,6.365708181
CHOLINE CHLORIDE,m-cresol,0,0.167,0.833,0,0,0,1,0,0,353.15,-22.68236862,33.67668393,0,3,0,0.004262524814,0.4672826899,0,0,6.666,0.167,1,0,0,0,0,0,0.167,0,0,0,0,0,0,0,test,5.67,10.1016/j.molliq.2022.120420,5.783931441
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,293.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,46.26,10.1016/j.molliq.2022.120420,41.33385064
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,298.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,35.59,10.1016/j.molliq.2022.120420,29.77131897
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,303.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,27.34,10.1016/j.molliq.2022.120420,26.27934354
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,308.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,21.45,10.1016/j.molliq.2022.120420,21.74152348
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,313.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,17.02,10.1016/j.molliq.2022.120420,14.0190344
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,318.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,14.01,10.1016/j.molliq.2022.120420,12.32931205
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,323.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,11.81,10.1016/j.molliq.2022.120420,10.62322703
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,328.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,10.01,10.1016/j.molliq.2022.120420,9.834282035
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,333.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,8.46,10.1016/j.molliq.2022.120420,8.616097767
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,338.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,7.3,10.1016/j.molliq.2022.120420,7.886075153
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,343.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,6.36,10.1016/j.molliq.2022.120420,6.558061563
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,348.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,5.58,10.1016/j.molliq.2022.120420,5.87268307
CHOLINE CHLORIDE,m-cresol,0,0.143,0.857,0,0,0,1,0,0,353.15,-22.68236862,33.67668393,0,3,0,0.004350704892,0.4703464211,0,0,6.714,0.143,1,0,0,0,0,0,0.143,0,0,0,0,0,0,0,test,4.94,10.1016/j.molliq.2022.120420,5.331899516
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,293.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,38.94,10.1016/j.molliq.2022.120420,37.99421179
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,298.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,29.64,10.1016/j.molliq.2022.120420,27.36589455
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,303.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,23.11,10.1016/j.molliq.2022.120420,24.29996629
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,308.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,18.38,10.1016/j.molliq.2022.120420,20.10393779
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,313.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,14.89,10.1016/j.molliq.2022.120420,13.21294574
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,318.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,12.26,10.1016/j.molliq.2022.120420,11.62038172
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,323.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,10.24,10.1016/j.molliq.2022.120420,10.01239588
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,328.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,8.65,10.1016/j.molliq.2022.120420,9.268814895
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,333.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,7.4,10.1016/j.molliq.2022.120420,8.118636633
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,338.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,6.39,10.1016/j.molliq.2022.120420,7.437766139
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,343.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,5.57,10.1016/j.molliq.2022.120420,6.185247703
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,348.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,05.06,10.1016/j.molliq.2022.120420,5.541985606
CHOLINE CHLORIDE,m-cresol,0,0.125,0.875,0,0,0,1,0,0,353.15,-22.68236862,33.67668393,0,3,0,0.004418682598,0.47279011,0,0,6.75,0.125,1,0,0,0,0,0,0.125,0,0,0,0,0,0,0,test,4.46,10.1016/j.molliq.2022.120420,5.075811701
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,293.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,36.45,10.1016/j.molliq.2022.120420,33.49888966
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,298.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,27.65,10.1016/j.molliq.2022.120420,24.08971998
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,303.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,21.52,10.1016/j.molliq.2022.120420,21.37375181
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,308.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,17.12,10.1016/j.molliq.2022.120420,17.71256876
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,313.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,13.86,10.1016/j.molliq.2022.120420,11.60085708
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,318.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,11.4,10.1016/j.molliq.2022.120420,10.10383849
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,323.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,9.52,10.1016/j.molliq.2022.120420,8.705706349
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,328.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,08.05,10.1016/j.molliq.2022.120420,8.059168018
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,333.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,6.88,10.1016/j.molliq.2022.120420,7.059096275
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,338.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,5.94,10.1016/j.molliq.2022.120420,6.467084268
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,343.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,5.18,10.1016/j.molliq.2022.120420,5.378028479
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,348.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,4.54,10.1016/j.molliq.2022.120420,4.818716703
CHOLINE CHLORIDE,m-cresol,0,0.111,0.889,0,0,0,1,0,0,353.15,-22.68236862,33.67668393,0,3,0,0.004472646594,0.4747846875,0,0,6.778,0.111,1,0,0,0,0,0,0.111,0,0,0,0,0,0,0,test,04.05,10.1016/j.molliq.2022.120420,4.413381839
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,293.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,33.4,10.1016/j.molliq.2022.120420,31.90399484
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,298.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,25.34,10.1016/j.molliq.2022.120420,22.94079716
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,303.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,19.67,10.1016/j.molliq.2022.120420,20.15790986
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,308.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,15.63,10.1016/j.molliq.2022.120420,16.70499254
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,313.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,12.65,10.1016/j.molliq.2022.120420,10.94094445
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,318.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,10.39,10.1016/j.molliq.2022.120420,9.529083491
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,323.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,8.67,10.1016/j.molliq.2022.120420,8.210483839
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,328.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,7.32,10.1016/j.molliq.2022.120420,7.600723723
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,333.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,6.25,10.1016/j.molliq.2022.120420,6.666148204
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,338.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,5.4,10.1016/j.molliq.2022.120420,6.107090836
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,343.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,4.71,10.1016/j.molliq.2022.120420,5.078657874
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,348.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,4.16,10.1016/j.molliq.2022.120420,4.550480464
CHOLINE CHLORIDE,m-cresol,0,0.1,0.9,0,0,0,1,0,0,353.15,-22.68236862,33.67668393,0,3,0,0.00451571418,0.476413409,0,0,6.8,0.1,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,test,3.67,10.1016/j.molliq.2022.120420,4.167708765
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,293.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,221.58,10.1016/j.molliq.2022.120420,125.5530785
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,298.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,160.59,10.1016/j.molliq.2022.120420,93.28805699
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,303.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,119.47,10.1016/j.molliq.2022.120420,87.37957679
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,308.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,90.82,10.1016/j.molliq.2022.120420,72.49763612
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,313.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,70.45,10.1016/j.molliq.2022.120420,57.4734999
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,318.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,55.82,10.1016/j.molliq.2022.120420,49.60373224
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,323.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,44.86,10.1016/j.molliq.2022.120420,40.05924031
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,328.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,36.72,10.1016/j.molliq.2022.120420,37.51940985
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,333.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,30.47,10.1016/j.molliq.2022.120420,32.18247107
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,338.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,25.57,10.1016/j.molliq.2022.120420,30.93291378
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,343.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,21.69,10.1016/j.molliq.2022.120420,26.10944112
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,348.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,18.61,10.1016/j.molliq.2022.120420,22.77578141
CHOLINE CHLORIDE,P-CRESOL,0,0.346,0.654,0,0,0,1,0,0,353.15,-22.68236862,33.67668393,0,3.654,0,0.004563902518,0.3797692834,0,0,6.308,0.346,1,0,0,0,0,0,0.346,0,0,0,0,0,0,0,train,16.14,10.1016/j.molliq.2022.120420,20.90580961
CHOLINE CHLORIDE,P-CRESOL,0,0.333,0.667,0,0,0,1,0,0,293.15,-22.68236862,33.67668393,0,3.667,0,0.004644885626,0.3783711871,0,0,6.334,0.333,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,train,208.99,10.1016/j.molliq.2022.120420,113.0557189
CHOLINE CHLORIDE,P-CRESOL,0,0.333,0.667,0,0,0,1,0,0,298.15,-22.68236862,33.67668393,0,3.667,0,0.004644885626,0.3783711871,0,0,6.334,0.333,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,train,154.51,10.1016/j.molliq.2022.120420,83.05886312
CHOLINE CHLORIDE,P-CRESOL,0,0.333,0.667,0,0,0,1,0,0,303.15,-22.68236862,33.67668393,0,3.667,0,0.004644885626,0.3783711871,0,0,6.334,0.333,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,train,114.77,10.1016/j.molliq.2022.120420,77.79825781
CHOLINE CHLORIDE,P-CRESOL,0,0.333,0.667,0,0,0,1,0,0,308.15,-22.68236862,33.67668393,0,3.667,0,0.004644885626,0.3783711871,0,0,6.334,0.333,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,train,88.35,10.1016/j.molliq.2022.120420,64.773161
CHOLINE CHLORIDE,P-CRESOL,0,0.333,0.667,0,0,0,1,0,0,313.15,-22.68236862,33.67668393,0,3.667,0,0.004644885626,0.3783711871,0,0,6.334,0.333,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,train,68.22,10.1016/j.molliq.2022.120420,51.34981582
CHOLINE CHLORIDE,P-CRESOL,0,0.333,0.667,0,0,0,1,0,0,318.15,-22.68236862,33.67668393,0,3.667,0,0.004644885626,0.3783711871,0,0,6.334,0.333,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,train,53.9,10.1016/j.molliq.2022.120420,44.55909249
CHOLINE CHLORIDE,P-CRESOL,0,0.333,0.667,0,0,0,1,0,0,323.15,-22.68236862,33.67668393,0,3.667,0,0.004644885626,0.3783711871,0,0,6.334,0.333,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,train,43.07,10.1016/j.molliq.2022.120420,35.98526388
CHOLINE CHLORIDE,P-CRESOL,0,0.333,0.667,0,0,0,1,0,0,328.15,-22.68236862,33.67668393,0,3.667,0,0.004644885626,0.3783711871,0,0,6.334,0.333,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,train,34.88,10.1016/j.molliq.2022.120420,33.70373112
CHOLINE CHLORIDE,P-CRESOL,0,0.333,0.667,0,0,0,1,0,0,333.15,-22.68236862,33.67668393,0,3.667,0,0.004644885626,0.3783711871,0,0,6.334,0.333,1,0,0,0,0,0,0.333,0,0,0,0,0,0,0,train,29.44,10.1016/j.molliq.2022.120420,29.98407593
