Number of components,Type of DES,Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",Phase diagram (Yes/No),Reference (DOI),Smiles#1,T#1,Smiles#2,T#2
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,0.513,0.487,351.25,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)Cc1ccc(C(C)C(=O)O)cc1,350.4
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,0.396,0.604,326.05,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)Cc1ccc(C(C)C(=O)O)cc1,350.4
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,0.303,0.697,335.08,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)Cc1ccc(C(C)C(=O)O)cc1,350.4
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,0.229,0.771,338.62,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)Cc1ccc(C(C)C(=O)O)cc1,350.4
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,0.111,0.889,344.52,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)Cc1ccc(C(C)C(=O)O)cc1,350.4
2,3,tetraheptylazanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,0.7,0.3,200.33,No,10.1021/acssuschemeng.0c00559,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Cl-],312.15,CC(C)Cc1ccc(C(C)C(=O)O)cc1,350.4
2,3,tetrabutylazanium;bromide,1H-imidazole,0.6,0.4,355.6607,Yes,10.1016/j.molliq.2008.07.009,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,c1c[nH]cn1,359.3
2,3,tetrabutylazanium;bromide,1H-imidazole,0.5,0.5,339.1637,Yes,10.1016/j.molliq.2008.07.009,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,c1c[nH]cn1,359.3
2,3,tetrabutylazanium;bromide,1H-imidazole,0.4,0.6,303.6994,Yes,10.1016/j.molliq.2008.07.009,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,c1c[nH]cn1,359.3
2,3,tetrabutylazanium;bromide,1H-imidazole,0.3,0.7,294.4966,Yes,10.1016/j.molliq.2008.07.009,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,c1c[nH]cn1,359.3
2,3,tetrabutylazanium;bromide,1H-imidazole,0.2,0.8,301.8287,Yes,10.1016/j.molliq.2008.07.009,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,c1c[nH]cn1,359.3
2,3,tetrabutylazanium;bromide,1H-imidazole,0.1,0.9,357.7936,Yes,10.1016/j.molliq.2008.07.009,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,c1c[nH]cn1,359.3
2,3,"1H-Benzotriazolium, 3-butyl-1-ethyl-, hexafluorophosphate(1-) (1:1) (ACI)",1H-imidazole,0.2,0.8,330.15,No,10.1016/j.molliq.2021.117021,CCCC[n+]1nn(CC)c2ccccc21.F[P-](F)(F)(F)(F)F,374.15,c1c[nH]cn1,359.3
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.6,0.4,367.3331,Yes,10.1016/j.molliq.2008.07.009,C[N+](C)(C)CCO.[Cl-],578.15,c1c[nH]cn1,359.3
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.5,0.5,361.2913,Yes,10.1016/j.molliq.2008.07.009,C[N+](C)(C)CCO.[Cl-],578.15,c1c[nH]cn1,359.3
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.4,0.6,355.979,Yes,10.1016/j.molliq.2008.07.009,C[N+](C)(C)CCO.[Cl-],578.15,c1c[nH]cn1,359.3
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.3,0.7,329.2686,Yes,10.1016/j.molliq.2008.07.009,C[N+](C)(C)CCO.[Cl-],578.15,c1c[nH]cn1,359.3
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.2,0.8,338.546,Yes,10.1016/j.molliq.2008.07.009,C[N+](C)(C)CCO.[Cl-],578.15,c1c[nH]cn1,359.3
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.1,0.9,341.9881,Yes,10.1016/j.molliq.2008.07.009,C[N+](C)(C)CCO.[Cl-],578.15,c1c[nH]cn1,359.3
2,3,tetrabutylazanium;chloride,1H-imidazole,0.3,0.7,294.15,No,10.1016/j.molliq.2021.117021,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344,c1c[nH]cn1,359.3
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-methylidenebutanedioic acid,0.5,0.5,330.15,No,10.1039/C1RA00630D,C[N+](C)(C)CCO.[Cl-],578.15,C=C(CC(=O)O)C(=O)O,444.46
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,0.881,0.119,541.85,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,368
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,0.789,0.211,500.92,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,368
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,0.695,0.305,465.85,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,368
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,0.603,0.397,418.68,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,368
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,0.505,0.495,390.52,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,368
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,0.398,0.602,366.25,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,368
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,0.31,0.69,349.75,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,368
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,0.213,0.787,354.72,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,368
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-(3-benzoylphenyl)propanoic acid,0.103,0.897,361.62,Yes,10.1016/j.fluid.2019.06.005,C[N+](C)(C)CCO.[Cl-],578.15,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,368
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",0.9,0.1,539.75,Yes,10.1021/acssuschemeng.8b02042,C[N+](C)(C)CCO.[Cl-],578.15,OC1OC[C@H](O)[C@H](O)[C@H]1O,429.15
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",0.801,0.199,492.65,Yes,10.1021/acssuschemeng.8b02042,C[N+](C)(C)CCO.[Cl-],578.15,OC1OC[C@H](O)[C@H](O)[C@H]1O,429.15
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",0.699,0.301,428.72,Yes,10.1021/acssuschemeng.8b02042,C[N+](C)(C)CCO.[Cl-],578.15,OC1OC[C@H](O)[C@H](O)[C@H]1O,429.15
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",0.598,0.402,367.68,Yes,10.1021/acssuschemeng.8b02042,C[N+](C)(C)CCO.[Cl-],578.15,OC1OC[C@H](O)[C@H](O)[C@H]1O,429.15
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",0.503,0.497,322.22,Yes,10.1021/acssuschemeng.8b02042,C[N+](C)(C)CCO.[Cl-],578.15,OC1OC[C@H](O)[C@H](O)[C@H]1O,429.15
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",0.394,0.606,341.52,Yes,10.1021/acssuschemeng.8b02042,C[N+](C)(C)CCO.[Cl-],578.15,OC1OC[C@H](O)[C@H](O)[C@H]1O,429.15
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",0.3,0.7,359.72,Yes,10.1021/acssuschemeng.8b02042,C[N+](C)(C)CCO.[Cl-],578.15,OC1OC[C@H](O)[C@H](O)[C@H]1O,429.15
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",0.201,0.799,381.58,Yes,10.1021/acssuschemeng.8b02042,C[N+](C)(C)CCO.[Cl-],578.15,OC1OC[C@H](O)[C@H](O)[C@H]1O,429.15
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",0.1,0.9,402.78,Yes,10.1021/acssuschemeng.8b02042,C[N+](C)(C)CCO.[Cl-],578.15,OC1OC[C@H](O)[C@H](O)[C@H]1O,429.15
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.9,0.1,529.3,Yes,10.1002/cssc.202001331,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,315.7
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.8,0.2,463.4,Yes,10.1002/cssc.202001331,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,315.7
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.7,0.3,418.5,Yes,10.1002/cssc.202001331,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,315.7
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.6,0.4,376.8,Yes,10.1002/cssc.202001331,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,315.7
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.5,0.5,335.1,Yes,10.1002/cssc.202001331,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,315.7
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.4,0.6,316.3,Yes,10.1002/cssc.202001331,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,315.7
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.3,0.7,315.7,Yes,10.1002/cssc.202001331,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,315.7
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.2,0.8,316.9,Yes,10.1002/cssc.202001331,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,315.7
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",0.1,0.9,322.4,Yes,10.1002/cssc.202001331,C[N+](C)(C)CCO.[Cl-],578.15,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,315.7
2,3,tetrabutylazanium;chloride,(2S)-2-amino-4-methylsulfanylbutanoic acid,0.916667,0.083333,292.26,No,10.1002/apj.1995,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344,CSCC[C@H](N)C(=O)O,556.15
2,3,tetrabutylazanium;chloride,(2S)-2-amino-4-methylsulfanylbutanoic acid,0.909091,0.090909,297.41,No,10.1002/apj.1995,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344,CSCC[C@H](N)C(=O)O,556.15
2,3,tetrabutylazanium;chloride,(2S)-2-amino-4-methylsulfanylbutanoic acid,0.9,0.1,299.12,No,10.1002/apj.1995,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344,CSCC[C@H](N)C(=O)O,556.15
2,3,tetrabutylazanium;chloride,(2S)-2-amino-3-hydroxypropanoic acid,0.909091,0.090909,303.56,No,10.1002/apj.1995,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344,N[C@@H](CO)C(=O)O,501.15
2,3,tetrabutylazanium;chloride,(2S)-2-amino-3-hydroxypropanoic acid,0.9,0.1,299.53,No,10.1002/apj.1995,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344,N[C@@H](CO)C(=O)O,501.15
2,3,tetrabutylazanium;chloride,(2S)-2-amino-3-hydroxypropanoic acid,0.888889,0.111111,298.06,No,10.1002/apj.1995,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344,N[C@@H](CO)C(=O)O,501.15
2,3,tetrabutylazanium;chloride,"(2S,3R)-2-amino-3-hydroxybutanoic acid",0.909091,0.090909,303.11,No,10.1002/apj.1995,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344,C[C@@H](O)[C@H](N)C(=O)O,529.15
2,3,tetrabutylazanium;chloride,"(2S,3R)-2-amino-3-hydroxybutanoic acid",0.9,0.1,293.36,No,10.1002/apj.1995,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344,C[C@@H](O)[C@H](N)C(=O)O,529.15
2,3,tetrabutylazanium;chloride,"(2S,3R)-2-amino-3-hydroxybutanoic acid",0.888889,0.111111,295.3,No,10.1002/apj.1995,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344,C[C@@H](O)[C@H](N)C(=O)O,529.15
2,3,benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.66,0.34,283.721,Yes,10.1016/j.fluid.2017.03.011,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],478.16,CC(O)C(=O)O,289.95
2,3,benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.496,0.504,244.961,Yes,10.1016/j.fluid.2017.03.011,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],478.16,CC(O)C(=O)O,289.95
2,3,benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.331,0.669,226.357,Yes,10.1016/j.fluid.2017.03.011,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],478.16,CC(O)C(=O)O,289.95
2,3,benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.284,0.716,221.705,Yes,10.1016/j.fluid.2017.03.011,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],478.16,CC(O)C(=O)O,289.95
2,3,benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.245,0.755,216.279,Yes,10.1016/j.fluid.2017.03.011,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],478.16,CC(O)C(=O)O,289.95
2,3,benzyl(tripropyl)azanium;chloride,2-hydroxypropanoic acid,0.199,0.801,220.155,Yes,10.1016/j.fluid.2017.03.011,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],478.16,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.95,0.05,565.55,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.896,0.104,537.15,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.847,0.153,501.55,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.799,0.201,466.85,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.749,0.251,434.82,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.697,0.303,406.45,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.653,0.347,386.65,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.599,0.401,351.42,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.55,0.45,316.88,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.502,0.498,296.95,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.099,0.901,287.75,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,0.05,0.95,288.35,Yes,10.1021/acs.iecr.8b01249,C[N+](C)(C)CCO.[Cl-],578.15,CC(O)C(=O)O,289.95
2,3,tetramethylazanium;chloride,dodecanoic acid,0.9,0.1,573.45,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.798,0.202,518.85,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.701,0.299,478.45,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.598,0.402,433.35,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.502,0.498,381.95,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.41,0.59,315.95,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.403,0.597,313.85,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.343,0.657,312.86,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.296,0.704,312.55,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.201,0.799,315.65,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.195,0.805,314.52,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.109,0.891,316.95,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetramethylazanium;chloride,dodecanoic acid,0.094,0.906,317.39,Yes,10.1016/j.fluid.2017.04.007,C[N+](C)(C)C.[Cl-],612.87,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.893,0.107,493.45,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.798,0.202,467.35,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.702,0.298,436.25,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.584,0.416,393.45,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.489,0.511,348.85,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.451,0.549,333.62,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.401,0.599,320.68,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.395,0.605,319.62,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.392,0.608,321.45,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.302,0.698,308.52,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.298,0.702,303.82,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.218,0.782,310.43,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.2,0.8,310.35,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.099,0.901,316.97,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetraethylazanium;chloride,dodecanoic acid,0.098,0.902,316.05,Yes,10.1016/j.fluid.2017.04.007,CC[N+](CC)(CC)CC.[Cl-],633.15,CCCCCCCCCCCC(=O)O,317.5
2,3,tetrapropylazanium;chloride,dodecanoic acid,0.908,0.092,481.25,Yes,10.1016/j.fluid.2017.04.007,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,CCCCCCCCCCCC(=O)O,317.5
2,3,tetrapropylazanium;chloride,dodecanoic acid,0.795,0.205,443.25,Yes,10.1016/j.fluid.2017.04.007,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,CCCCCCCCCCCC(=O)O,317.5
2,3,tetrapropylazanium;chloride,dodecanoic acid,0.713,0.287,419.55,Yes,10.1016/j.fluid.2017.04.007,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,CCCCCCCCCCCC(=O)O,317.5
2,3,tetrapropylazanium;chloride,dodecanoic acid,0.604,0.396,380.75,Yes,10.1016/j.fluid.2017.04.007,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,CCCCCCCCCCCC(=O)O,317.5
2,3,tetrapropylazanium;chloride,dodecanoic acid,0.503,0.497,358.35,Yes,10.1016/j.fluid.2017.04.007,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,CCCCCCCCCCCC(=O)O,317.5
2,3,tetrapropylazanium;chloride,dodecanoic acid,0.447,0.553,334.28,Yes,10.1016/j.fluid.2017.04.007,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,CCCCCCCCCCCC(=O)O,317.5
2,3,tetrapropylazanium;chloride,dodecanoic acid,0.364,0.636,296.26,Yes,10.1016/j.fluid.2017.04.007,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,CCCCCCCCCCCC(=O)O,317.5
2,3,tetrapropylazanium;chloride,dodecanoic acid,0.299,0.701,300.72,Yes,10.1016/j.fluid.2017.04.007,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,CCCCCCCCCCCC(=O)O,317.5
2,3,tetrapropylazanium;chloride,dodecanoic acid,0.298,0.702,295.7,Yes,10.1016/j.fluid.2017.04.007,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,CCCCCCCCCCCC(=O)O,317.5
