Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),Type I,Type II,Type III,Type IV,Type V,Type IL,"Melting temperature of component#1, K",Reference(DOI)#1,"Melting temperature of component#2, K",Reference(DOI)#2,"Molecular weight, g/mol",Number of hydrogen bond donors,Number of aliphatic carboxylic acids,Number of aromatic carboxylic acide,Number of aromatic nitrogens,Number of aromatic hydroxyl groups,Number of Tertiary amines,Number of Secondary amines,Number of amides,Number of aromatic rings,Chemical toxicity evaluation,Number of heavy atoms,train/test,"Tmelt, K",Reference (DOI),"Tmelt_prediction, K"
zinc;dichloride,tetraethylazanium;chloride,0.666667,0.333333,1,0,0,0,0,0,563.15,10.1002/ddr.21085,633.15,10.1016/j.gee.2020.11.020,146.0999902,0,0,0,0,0,0.333333,0,0,0,1,0.666667,test,364.15,10.1039/B106357J,349.532219
dichlorotin,2-chloroethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,519.15,10.1021/ja069813z,498.15,10.1248/yakushi1947.74.12_1344,179.1020105,0,0,0,0,0,0.333333,0,0,0,1.333333,0.666667,train,343.15,10.1039/B106357J,338.8730825
zinc;dichloride,2-chloroethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,563.15,10.1002/ddr.21085,498.15,10.1248/yakushi1947.74.12_1344,143.5546594,0,0,0,0,0,0.333333,0,0,0,1.333333,0.666667,train,297.15,10.1039/B106357J,309.0927193
dichlorotin,2-acetyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,519.15,10.1021/ja069813z,423.65,10.1107/S0108768195007567,186.9656693,0,0,0,0,0,0.333333,0,0,0,1.333333,0.666667,test,287.15,10.1039/B106357J,335.2262035
zinc;dichloride,2-acetyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,519.15,10.1002/ddr.21085,423.65,10.1107/S0108768195007567,186.9659318,0,0,0,0,0,0.3333,0,0,0,1.3333,0.6667,test,293.15,10.1039/B106357J,335.2262035
zinc;dichloride,2-benzoyloxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,563.15,10.1002/ddr.21085,423.65,KNN,151.4183182,0,0,0,0,0,0.333333,0,0,0,1.333333,0.666667,train,304.15,10.1039/B106357J,302.3766556
dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,563.15,10.1021/ja069813z,479.65,10.1016/j.molliq.2020.114745,172.1086309,0,0,0,0,0,0.333333,0,0,0.333333,1.333333,0.666667,test,320.15,10.1039/B106357J,314.746982
zinc;dichloride,ethyl(trimethyl)azanium;chloride,0.666667,0.333333,1,0,0,0,0,0,519.15,10.1002/ddr.21085,578.15,KNN,172.95335,0.333333,0,0,0,0,0.333333,0,0,0,1,0.666667,train,317.15,10.1039/B106357J,342.0765983
zinc;dichloride,1-butyl-3-methylimidazol-3-ium;chloride,0.5,0.5,1,0,0,0,0,0,519.15,10.1002/ddr.21085,578.15,10.1016/j.molcata.2003.09.032,179.668791,0.199,0,0,0,0,0.199,0,0,0,1,0.801,train,411.4773,10.1016/j.molliq.2021.117021,367.2559692
dichlorotin,2-acetyloxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,1,0,0,0,0,0,519.15,10.1021/ja069813z,578.15,10.1107/S0108768195007567,178.6539737,0.2193,0,0,0,0,0.2193,0,0,0,1,0.7807,train,370.0227,10.1016/j.molliq.2021.117021,359.7080452
dibromozinc,2-acetyloxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,1,0,0,0,0,0,519.15,10.1002/9781119312468.ch1,578.15,10.1107/S0108768195007567,177.3842023,0.2447,0,0,0,0,0.2447,0,0,0,1,0.7553,train,349.2955,10.1016/j.molliq.2021.117021,351.7710741
trichloroiron,butyl(triphenyl)phosphanium;bromide,0.6,0.4,1,0,0,0,0,0,519.15,10.1021/ja069813z,578.15,DE824047,175.4845443,0.2827,0,0,0,0,0.2827,0,0,0,1,0.7173,train,287.1136,10.1021/ie500466g,341.39147
trichloroiron,butyl(triphenyl)phosphanium;bromide,0.5,0.5,1,0,0,0,0,0,519.15,10.1021/ja069813z,578.15,DE824047,173.1999556,0.3284,0,0,0,0,0.3284,0,0,0,1,0.6716,train,317.6591,10.1021/ie500466g,339.773172
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.8036,0.1964,1,0,0,0,0,0,519.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,170.0255271,0.3919,0,0,0,0,0.3919,0,0,0,1,0.6081,train,397.2955,10.1021/ic049931s,356.4892042
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.7553,0.2447,1,0,0,0,0,0,519.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,165.0764181,0.4909,0,0,0,0,0.4909,0,0,0,1,0.5091,train,448.5682,10.1021/ic049931s,348.4824713
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.7147,0.2853,1,0,0,0,0,0,563.15,10.1021/ja069813z,567.15,10.1016/j.molliq.2020.114745,132.0730042,0,0,0,0,0,0.333333,0,0,0,1,0.666667,train,327.15,10.1021/ic049931s,316.9606898
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.6716,0.3284,1,0,0,0,0,0,563.15,10.1021/ja069813z,341.95,10.1016/j.molliq.2020.114745,155.4855,0,0,0,1,0,1,0,0,0.5,1,0.5,train,223.05,10.1021/ic049931s,273.1953771
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,1,0,0,0,0,0,667.15,10.1021/ja069813z,423.65,10.1016/j.molliq.2020.114745,210.6877845,0,0,0,0,0,0.3333,0,0,0,1.3333,0.6667,test,321.15,10.1016/j.gee.2019.03.002,303.6817805
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.6056,0.3944,1,0,0,0,0,0,577.15,10.1021/ja069813z,508.15,10.1016/j.molliq.2020.114745,257.0472,0,0,0,0,0,0,0,0,1.2,1,0.6,train,325.67,10.1021/ic049931s,342.0137075
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.4102,0.5898,1,0,0,0,0,0,577.15,10.1021/ja069813z,508.15,10.1016/j.molliq.2020.114745,280.758,0,0,0,0,0,0,0,0,1.5,1,0.5,train,330.16,10.1021/ic049931s,343.2914195
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.3442,0.6558,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,157.7696808,0.1964,0,0,0,0,0.1964,0,0,0,1,0.8036,train,376.5682,10.1021/ic049931s,370.3939575
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.2985,0.7015,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,156.6791634,0.2447,0,0,0,0,0.2447,0,0,0,1,0.7553,train,359.1136,10.1021/ic049931s,351.386963
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.2655,0.7345,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,155.7624966,0.2853,0,0,0,0,0.2853,0,0,0,1,0.7147,train,344.9318,10.1021/ic049931s,326.395671
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.2122,0.7878,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,154.7893848,0.3284,0,0,0,0,0.3284,0,0,0,1,0.6716,train,338.3864,10.1021/ic049931s,323.4784414
trichloroiron,2-hydroxyethyl(trimethyl)azanium;chloride,0.1792,0.8208,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,154.6787526,0.3333,0,0,0,0,0.3333,0,0,0,1,0.6667,train,338.15,10.1021/ic049931s,325.7818676
dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.801,0.199,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,153.2992368,0.3944,0,0,0,0,0.3944,0,0,0,1,0.6056,train,362.3864,10.1021/ic049931s,343.2200767
dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.7807,0.2193,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,148.8874956,0.5898,0,0,0,0,0.5898,0,0,0,1,0.4102,train,364.5682,10.1021/ic049931s,345.8261909
dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.7553,0.2447,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,147.3973476,0.6558,0,0,0,0,0.6558,0,0,0,1,0.3442,train,334.0227,10.1021/ic049931s,355.8165298
dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.7173,0.2827,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,146.365533,0.7015,0,0,0,0,0.7015,0,0,0,1,0.2985,train,332.9318,10.1021/ic049931s,354.8239328
dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.6716,0.3284,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,145.620459,0.7345,0,0,0,0,0.7345,0,0,0,1,0.2655,train,336.2045,10.1021/ic049931s,358.0486668
dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.6081,0.3919,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,144.4170516,0.7878,0,0,0,0,0.7878,0,0,0,1,0.2122,train,332.9318,10.1021/ic049931s,350.9603124
dichlorotin,2-hydroxyethyl(trimethyl)azanium;chloride,0.5091,0.4909,1,0,0,0,0,0,577.15,10.1021/ja069813z,578.15,10.1016/j.molliq.2020.114745,143.6719776,0.8208,0,0,0,0,0.8208,0,0,0,1,0.1792,train,342.75,10.1021/ic049931s,368.5766127
dibromozinc,2-hydroxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,1,0,0,0,0,0,667.15,10.1002/9781119312468.ch1,578.15,10.1016/j.molliq.2020.114745,196.6768524,0.3333,0,0,0,0,0.3333,0,0,0,1,0.6667,train,311.15,10.1016/j.gee.2019.03.002,315.4567593
zinc;dichloride,2-hydroxyethyl(trimethyl)azanium;chloride,0.7553,0.2447,1,0,0,0,0,0,563.15,10.1002/ddr.21085,578.15,10.1016/j.molliq.2020.114745,137.110851,0.2447,0,0,0,0,0.2447,0,0,0,1,0.7553,train,317.6591,10.1021/ic049931s,340.3891638
zinc;dichloride,2-hydroxyethyl(trimethyl)azanium;chloride,0.6716,0.3284,1,0,0,0,0,0,563.15,10.1002/ddr.21085,578.15,10.1016/j.molliq.2020.114745,137.389572,0.3284,0,0,0,0,0.3284,0,0,0,1,0.6716,train,298.0227,10.1021/ic049931s,310.0436337
zinc;dichloride,2-hydroxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,1,0,0,0,0,0,563.15,10.1002/ddr.21085,578.15,10.1016/j.molliq.2020.114745,137.405889,0.3333,0,0,0,0,0.3333,0,0,0,1,0.6667,train,297.15,10.1016/j.gee.2019.03.002,312.3470599
zinc;dichloride,2-hydroxyethyl(trimethyl)azanium;chloride,0.6056,0.3944,1,0,0,0,0,0,563.15,10.1002/ddr.21085,578.15,10.1016/j.molliq.2020.114745,137.609352,0.3944,0,0,0,0,0.3944,0,0,0,1,0.6056,train,335.1136,10.1021/ic049931s,335.5762267
zinc;dichloride,2-hydroxyethyl(trimethyl)azanium;chloride,0.5091,0.4909,1,0,0,0,0,0,563.15,10.1002/ddr.21085,578.15,10.1016/j.molliq.2020.114745,137.930697,0.4909,0,0,0,0,0.4909,0,0,0,1,0.5091,train,337.2955,10.1021/ic049931s,329.7403157
zinc;dichloride,ethyl(triphenyl)phosphanium;bromide,0.833333,0.166667,1,0,0,0,0,0,563.15,10.1002/ddr.21085,478.65,KNN,175.4564117,0,0,0,0,0,0,0,0,0.500001,1,0.833333,train,345.29,10.1016/j.molliq.2015.01.025,355.7369276
zinc;dichloride,ethyl(triphenyl)phosphanium;bromide,0.8,0.2,1,0,0,0,0,0,563.15,10.1002/ddr.21085,478.65,KNN,183.2884,0,0,0,0,0,0,0,0,0.6,1,0.8,train,340.27,10.1016/j.molliq.2015.01.025,344.8207054
zinc;dichloride,ethyl(triphenyl)phosphanium;bromide,0.75,0.25,1,0,0,0,0,0,563.15,10.1002/ddr.21085,478.65,KNN,195.0365,0,0,0,0,0,0,0,0,0.75,1,0.75,train,338.98,10.1016/j.molliq.2015.01.025,343.0145291
zinc;dichloride,ethyl(triphenyl)phosphanium;bromide,0.666667,0.333333,1,0,0,0,0,0,563.15,10.1002/ddr.21085,478.65,KNN,214.6165883,0,0,0,0,0,0,0,0,0.999999,1,0.666667,train,341.5,10.1016/j.molliq.2015.01.025,325.0811487
trichloroiron,2-hydroxyethyl-dimethyl-phenylazanium;chloride,0.6667,0.3333,1,0,0,0,0,0,577.15,10.1021/ja069813z,326.7615826,,175.3670169,0.3333,0,0,0,0,0.3333,0,0,0.3333,1,0.6667,test,294.15,10.1016/j.molliq.2021.117021,296.3586196
dichlorotin,2-hydroxyethyl-dimethyl-phenylazanium;chloride,0.6667,0.3333,1,0,0,0,0,0,519.15,10.1021/ja069813z,326.7615826,,193.643264,0.3333,0,0,0,0,0.3333,0,0,0.3333,1,0.6667,train,290.15,10.1016/j.molliq.2021.117021,294.0486411
trichloroiron,tetrabutylphosphanium;bromide,0.4,0.6,1,0,0,0,0,0,577.15,10.1021/ja069813z,373.15,KNN,268.4868,0,0,0,0,0,0,0,0,0,1,0.4,train,314.5,10.1021/ie500466g,324.9170769
trichloroiron,tetrabutylphosphanium;bromide,0.333333,0.666667,1,0,0,0,0,0,577.15,10.1021/ja069813z,373.15,KNN,280.296059,0,0,0,0,0,0,0,0,0,1,0.333333,train,314.12,10.1021/ie500466g,324.7156571
calcium;dichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.91,0.09,0,1,0,0,0,0,303.15,10.1021/acs.energyfuels.7b02866,578.15,10.1016/j.molliq.2020.114745,211.92368,0.09,0,0,0,0,0.09,0,0,0,1,0.91,train,297.25,10.1016/j.solmat.2016.06.004,292.7065961
calcium;dichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.89,0.11,0,1,0,0,0,0,303.15,10.1021/acs.energyfuels.7b02866,578.15,10.1016/j.molliq.2020.114745,210.33472,0.11,0,0,0,0,0.11,0,0,0,1,0.89,train,296.2,10.1016/j.solmat.2016.06.004,296.5569441
calcium;dichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.86,0.14,0,1,0,0,0,0,303.15,10.1021/acs.energyfuels.7b02866,578.15,10.1016/j.molliq.2020.114745,207.95128,0.14,0,0,0,0,0.14,0,0,0,1,0.86,train,293.8,10.1016/j.solmat.2016.06.004,296.5569441
calcium;dichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.8,0.2,0,1,0,0,0,0,303.15,10.1021/acs.energyfuels.7b02866,578.15,10.1016/j.molliq.2020.114745,203.1844,0.2,0,0,0,0,0.2,0,0,0,1,0.8,train,289.95,10.1016/j.solmat.2016.06.004,297.9026057
calcium;dichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.66,0.34,0,1,0,0,0,0,303.15,10.1021/acs.energyfuels.7b02866,578.15,10.1016/j.molliq.2020.114745,192.06168,0.34,0,0,0,0,0.34,0,0,0,1,0.66,train,275.85,10.1016/j.solmat.2016.06.004,283.6425527
chromium(3+);trichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.75,0.25,0,1,0,0,0,0,362.15,10.1016/0304-3894(92)87024-A,578.15,10.1016/j.molliq.2020.114745,234.74025,0.25,0,0,0,0,0.25,0,0,0,0.25,0.75,train,322.333,10.1016/j.gee.2019.03.002,312.2853855
chromium(3+);trichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.714,0.286,0,1,0,0,0,0,362.15,10.1016/0304-3894(92)87024-A,578.15,10.1016/j.molliq.2020.114745,230.174766,0.286,0,0,0,0,0.286,0,0,0,0.286,0.714,train,294.333,10.1016/j.gee.2019.03.002,309.0233657
chromium(3+);trichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.6667,0.3333,0,1,0,0,0,0,362.15,10.1016/0304-3894(92)87024-A,578.15,10.1016/j.molliq.2020.114745,224.1762273,0.3333,0,0,0,0,0.3333,0,0,0,0.3333,0.6667,train,282.15,10.1016/j.gee.2019.03.002,304.755055
chromium(3+);trichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.602,0.398,0,1,0,0,0,0,362.15,10.1016/0304-3894(92)87024-A,578.15,10.1016/j.molliq.2020.114745,215.971038,0.398,0,0,0,0,0.398,0,0,0,0.398,0.602,train,290.833,10.1016/j.gee.2019.03.002,297.8927655
chromium(3+);trichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.496,0.504,0,1,0,0,0,0,362.15,10.1016/0304-3894(92)87024-A,578.15,10.1016/j.molliq.2020.114745,202.528224,0.504,0,0,0,0,0.504,0,0,0,0.504,0.496,train,300.167,10.1016/j.gee.2019.03.002,299.4128973
magnesium;dichloride;hexahydrate,2-hydroxyethyl(trimethyl)azanium;chloride,0.5,0.5,0,1,0,0,0,0,389.85,10.1016/0360-5442(92)90004-J,578.15,10.1016/j.molliq.2020.114745,171.4635,0.5,0,0,0,0,0.5,0,0,0,1,0.5,train,289.15,10.1016/j.gee.2019.03.002,298.5440356
ethanamine;hydrochloride,trifluoromethylurea,0.4,0.6,0,0,1,0,0,0,380.65,10.1021/jp2010138,302.96,10.1007/BF00959897,109.4502,1.6,0,0,0,0,0,0.6,1.2,0,0.6,0,train,293.15,10.1016/j.molliq.2021.117021,270.7415056
2-hydroxyethyl(trimethyl)azanium;chloride,methylurea,0.3333,0.6667,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,373.8,10.1016/0021-9614(87)90038-3,95.9284819,1.6667,0,0,0,0,0.3333,0.6667,1.3334,0,0.3333,0,test,302.15,10.1016/j.molliq.2021.117021,302.8928939
2-hydroxyethyl(trimethyl)azanium;chloride,methylurea,0.333333,0.666667,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,373.8,10.1016/0021-9614(87)90038-3,95.93064482,1.666667,0,0,0,0,0.333333,0.666667,1.333334,0,0.333333,0,test,302.15,10.1016/j.cplett.2015.06.017,307.8151683
2-hydroxyethyl(trimethyl)azanium;chloride,"butane-1,4-diol",0.34,0.66,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,293.58,10.1021/ja069813z,106.95336,1.66,0,0,0,0,0.34,0,0,0,1,0,train,261.71,10.1016/j.fluid.2013.06.050,253.7146075
2-hydroxyethyl(trimethyl)azanium;chloride,"butane-1,4-diol",0.28,0.72,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,293.58,10.1021/ja069813z,103.98312,1.72,0,0,0,0,0.28,0,0,0,1,0,train,249.07,10.1016/j.fluid.2013.06.050,251.4167619
2-hydroxyethyl(trimethyl)azanium;chloride,"butane-1,4-diol",0.25,0.75,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,293.58,10.1021/ja069813z,102.498,1.75,0,0,0,0,0.25,0,0,0,1,0,train,241.15,10.1016/j.fluid.2013.06.050,250.8533758
2-hydroxyethyl(trimethyl)azanium;chloride,"1,1-dimethylurea",0.3333,0.6667,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,454.2,10.1016/0021-9614(87)90038-3,105.2802828,1,0,0,0,0,1,0,1.3334,0,0.3333,0,train,422.15,10.1016/j.molliq.2021.117021,393.3899446
2-hydroxyethyl(trimethyl)azanium;chloride,"1,1-dimethylurea",0.38,0.62,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,454.2,10.1016/0021-9614(87)90038-3,107.68608,1,0,0,0,0,1,0,1.24,0,0.38,0,train,392.15,10.1016/j.fluid.2019.06.005,402.7145765
tetraethylazanium;bromide,"1,3-dimethylurea",0.333333,0.666667,0,0,1,0,0,0,633,10.1016/j.gee.2020.11.020,379.4,10.1016/0021-9614(87)90038-3,128.7929593,1.333334,0,0,0,0,0.333333,1.333334,1.333334,0,0.333333,0,test,296.15,10.1002/aic.17408,327.794644
benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.75,0.25,0,0,1,0,0,0,603.15,10.1007/s00044-012-0159-y,348,10.1016/0021-9614(78)90104-0,319.918,0.25,0,0,0,0,0,0,0.25,3,0.75,0,train,372.87,10.1021/je100104v,408.5688742
benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.666667,0.333333,0,0,1,0,0,0,603.15,10.1007/s00044-012-0159-y,348,10.1016/0021-9614(78)90104-0,296.9314253,0.333333,0,0,0,0,0,0,0.333333,2.666668,0.666667,0,train,374.69,10.1021/je100104v,384.6744021
benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.5,0.5,0,0,1,0,0,0,603.15,10.1007/s00044-012-0159-y,348,10.1016/0021-9614(78)90104-0,250.958,0.5,0,0,0,0,0,0,0.5,2,0.5,0,train,387.58,10.1021/je100104v,388.3102969
benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.333333,0.666667,0,0,1,0,0,0,603.15,10.1007/s00044-012-0159-y,348,10.1016/0021-9614(78)90104-0,204.9845747,0.666667,0,0,0,0,0,0,0.666667,1.333332,0.333333,0,train,406.92,10.1021/je100104v,380.0630841
benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.166667,0.833333,0,0,1,0,0,0,603.15,10.1007/s00044-012-0159-y,348,10.1016/0021-9614(78)90104-0,159.0114253,0.833333,0,0,0,0,0,0,0.833333,0.666668,0.166667,0,train,403.05,10.1021/je100104v,348.2910924
2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.4,0.6,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,348,10.1016/0021-9614(78)90104-0,123.6732,1,0,0,0,0,0.4,0,0.6,0,0.4,0,train,294,10.3923/jas.2010.3349.3354,286.9934666
2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.36,0.64,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,348,10.1016/0021-9614(78)90104-0,122.60968,1,0,0,0,0,0.36,0,0.64,0,0.36,0,train,270,10.3923/jas.2010.3349.3354,280.2768007
2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.333,0.667,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,348,10.1016/0021-9614(78)90104-0,121.891804,1,0,0,0,0,0.333,0,0.667,0,0.333,0,train,243.14,10.1002/aic.17408,278.6625201
2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.33,0.67,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,348,10.1016/0021-9614(78)90104-0,121.81204,1,0,0,0,0,0.33,0,0.67,0,0.33,0,train,243,10.3923/jas.2010.3349.3354,280.0940965
2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.29,0.71,0,0,1,0,0,0,578.15,10.1016/j.molliq.2020.114745,348,10.1016/0021-9614(78)90104-0,120.74852,1,0,0,0,0,0.29,0,0.71,0,0.29,0,train,229,10.3923/jas.2010.3349.3354,288.3248163
ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.67,0.33,0,0,1,0,0,0,380.65,10.1021/jp2010138,348,10.1016/0021-9614(78)90104-0,91.93836,1,0,0,0,0,0,0,0.33,0,0,0,train,300,10.1002/cphc.200500489,306.0598624
ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.5,0.5,0,0,1,0,0,0,380.65,10.1021/jp2010138,348,10.1016/0021-9614(78)90104-0,97.292,1,0,0,0,0,0,0,0.5,0,0,0,train,298.7,10.1002/cphc.200500489,278.3546062
ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.4,0.6,0,0,1,0,0,0,380.65,10.1021/jp2010138,348,10.1016/0021-9614(78)90104-0,100.4412,1,0,0,0,0,0,0,0.6,0,0,0,train,294,10.1002/cphc.200500489,285.6836164
ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.33,0.67,0,0,1,0,0,0,380.65,10.1021/jp2010138,348,10.1016/0021-9614(78)90104-0,102.64564,1,0,0,0,0,0,0,0.67,0,0,0,train,302.5,10.1002/cphc.200500489,283.5727454
ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.25,0.75,0,0,1,0,0,0,380.65,10.1021/jp2010138,348,10.1016/0021-9614(78)90104-0,105.165,1,0,0,0,0,0,0,0.75,0,0,0,train,308,10.1002/cphc.200500489,290.3069035
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.1111,0.8889,0,0,1,0,0,0,504.15,10.1021/je100104v,348,10.1016/0021-9614(78)90104-0,140.1678423,0.8889,0,0,0,0,0,0,0.8889,0.3333,0.1111,0,train,203.9,10.1016/j.molliq.2021.115838,218.3107458
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.727273,0.272727,0,0,1,0,0,0,504.15,10.1021/je100104v,348,10.1016/0021-9614(78)90104-0,290.6329757,0.272727,0,0,0,0,0,0,0.272727,2.181819,0.727273,0,train,350.19,10.1021/je100104v,348.2251234
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.666667,0.333333,0,0,1,0,0,0,504.15,10.1021/je100104v,348,10.1016/0021-9614(78)90104-0,275.8334147,0.333333,0,0,0,0,0,0,0.333333,2.000001,0.666667,0,train,363.73,10.1021/je100104v,337.8561621
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.5,0.5,0,0,1,0,0,0,504.15,10.1021/je100104v,348,10.1016/0021-9614(78)90104-0,235.1345,0.5,0,0,0,0,0,0,0.5,1.5,0.5,0,train,336.8,10.1021/je100104v,324.0313621
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.4,0.6,0,0,1,0,0,0,504.15,10.1021/je100104v,348,10.1016/0021-9614(78)90104-0,210.7152,0.6,0,0,0,0,0,0,0.6,1.2,0.4,0,train,331.55,10.1021/je100104v,300.4384045
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.333333,0.666667,0,0,1,0,0,0,504.15,10.1021/je100104v,348,10.1016/0021-9614(78)90104-0,194.4355853,0.666667,0,0,0,0,0,0,0.666667,0.999999,0.333333,0,train,273.15,10.1021/je100104v,278.816422
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.25,0.75,0,0,1,0,0,0,504.15,10.1021/je100104v,348,10.1016/0021-9614(78)90104-0,174.08625,0.75,0,0,0,0,0,0,0.75,0.75,0.25,0,train,241.36,10.1021/je100104v,246.6533924
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.2,0.8,0,0,1,0,0,0,504.15,10.1021/je100104v,348,10.1016/0021-9614(78)90104-0,161.8766,0.8,0,0,0,0,0,0,0.8,0.6,0.2,0,train,223.88,10.1021/je100104v,237.714053
methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.142857,0.857143,0,0,1,0,0,0,504.15,10.1021/je100104v,348,10.1016/0021-9614(78)90104-0,147.9226794,0.857143,0,0,0,0,0,0,0.857143,0.428571,0.142857,0,train,211.16,10.1021/je100104v,226.6091285
