Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Density, g/cm^3",Reference (DOI)
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,323.15,1.2786,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,333.15,1.272,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,343.15,1.2654,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.143,0.857,,353.15,1.2587,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,293.15,1.2983,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,303.15,1.2918,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,313.15,1.2854,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,323.15,1.2788,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,333.15,1.2725,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,343.15,1.2656,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.167,0.833,,353.15,1.2589,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,293.15,1.3085,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,303.15,1.302,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,313.15,1.2955,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,323.15,1.289,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,333.15,1.2823,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,343.15,1.2757,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,,0.2,0.8,,353.15,1.269,10.1021/acssuschemeng.9b03245
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,303.15,1.1293,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,313.15,1.1249,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,323.15,1.1193,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,333.15,1.1133,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,343.15,1.1081,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,353.15,1.1037,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,"1,2,4-Triazole",,0.5,0.5,,363.15,1.1002,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,303.15,1.1557,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,313.15,1.1517,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,323.15,1.1456,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,333.15,1.1421,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,343.15,1.1384,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,353.15,1.1326,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.25,0.75,,363.15,1.1285,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,303.15,1.1206,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,313.15,1.1141,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,323.15,1.1092,10.1021/acs.iecr.7b02478
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Imidazole,,0.333,0.667,,333.15,1.1026,10.1021/acs.iecr.7b02478
