Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Density, g/cm^3",Reference (DOI)
2,Ⅲ,0,0,1,0,0,Choline chloride,DL-Lactic acid,,0.333,0.667,,298.15,1.165,10.1016/j.biortech.2020.122897
2,Ⅲ,0,0,1,0,0,Choline chloride,DL-Malic acid,,0.5,0.5,,298.15,1.274,10.1016/j.biortech.2020.122897
2,Ⅲ,0,0,1,0,0,Choline chloride,Oxalic acid,,0.5,0.5,,298.15,1.225,10.1016/j.biortech.2020.122897
2,Ⅲ,0,0,1,0,0,Choline chloride,Benzilic acid,,0.5,0.5,,293.15,1.205321,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Choline chloride,Benzilic acid,,0.5,0.5,,298.15,1.203226,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Choline chloride,Benzilic acid,,0.5,0.5,,303.15,1.200128,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Choline chloride,Benzilic acid,,0.5,0.5,,308.15,1.197492,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Choline chloride,Benzilic acid,,0.5,0.5,,313.15,1.194683,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Choline chloride,Benzilic acid,,0.5,0.5,,318.15,1.191638,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Choline chloride,Benzilic acid,,0.5,0.5,,323.15,1.188564,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Choline chloride,Benzilic acid,,0.5,0.5,,328.15,1.185486,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Choline chloride,Benzilic acid,,0.5,0.5,,333.15,1.1824,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium hydrogen sulfate,Benzilic acid,,0.5,0.5,,293.15,1.121746,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium hydrogen sulfate,Benzilic acid,,0.5,0.5,,298.15,1.119133,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium hydrogen sulfate,Benzilic acid,,0.5,0.5,,303.15,1.116079,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium hydrogen sulfate,Benzilic acid,,0.5,0.5,,308.15,1.112964,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium hydrogen sulfate,Benzilic acid,,0.5,0.5,,313.15,1.109841,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium hydrogen sulfate,Benzilic acid,,0.5,0.5,,318.15,1.106719,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium hydrogen sulfate,Benzilic acid,,0.5,0.5,,323.15,1.103593,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium hydrogen sulfate,Benzilic acid,,0.5,0.5,,328.15,1.100445,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium hydrogen sulfate,Benzilic acid,,0.5,0.5,,333.15,1.097291,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Benzilic acid,,0.5,0.5,,293.15,1.246341,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Benzilic acid,,0.5,0.5,,298.15,1.244862,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Benzilic acid,,0.5,0.5,,303.15,1.241404,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Benzilic acid,,0.5,0.5,,308.15,1.238652,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Benzilic acid,,0.5,0.5,,313.15,1.235226,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Benzilic acid,,0.5,0.5,,318.15,1.231748,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Benzilic acid,,0.5,0.5,,323.15,1.228121,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Benzilic acid,,0.5,0.5,,328.15,1.224434,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Benzilic acid,,0.5,0.5,,333.15,1.220768,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrapropylammonium bromide,Benzilic acid,,0.5,0.5,,293.15,1.181461,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrapropylammonium bromide,Benzilic acid,,0.5,0.5,,298.15,1.177336,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrapropylammonium bromide,Benzilic acid,,0.5,0.5,,303.15,1.174121,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrapropylammonium bromide,Benzilic acid,,0.5,0.5,,308.15,1.171476,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrapropylammonium bromide,Benzilic acid,,0.5,0.5,,313.15,1.168429,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrapropylammonium bromide,Benzilic acid,,0.5,0.5,,318.15,1.165239,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrapropylammonium bromide,Benzilic acid,,0.5,0.5,,323.15,1.16203,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrapropylammonium bromide,Benzilic acid,,0.5,0.5,,328.15,1.158824,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Tetrapropylammonium bromide,Benzilic acid,,0.5,0.5,,333.15,1.155611,10.1016/j.fluid.2020.112752
2,Ⅲ,0,0,1,0,0,Choline chloride,Citric acid,,0.5,0.5,,296.15,1.3,10.1016/j.molliq.2016.01.038
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Xylose,,0.667,0.333,,296.15,1.23,10.1016/j.molliq.2016.01.038
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Glucose,,0.5,0.5,,296.15,1.27,10.1016/j.molliq.2016.01.038
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Sucrose,,0.5,0.5,,296.15,1.35,10.1016/j.molliq.2016.01.038
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Sucrose,,0.8,0.2,,296.15,1.22,10.1016/j.molliq.2016.01.038
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Xylose,,0.75,0.25,,296.15,1.23,10.1016/j.molliq.2016.01.038
2,Ⅲ,0,0,1,0,0,Choline chloride,L-Tartaric acid,,0.667,0.333,,296.15,1.26,10.1016/j.molliq.2016.01.038
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.5,0.5,,298.15,1.337,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.5,0.5,,308.15,1.3316,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.5,0.5,,318.15,1.3262,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.5,0.5,,328.15,1.3207,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.5,0.5,,338.15,1.3152,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.5,0.5,,348.15,1.3093,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.5,0.5,,358.15,1.3031,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.6,0.4,,298.15,1.3036,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.6,0.4,,308.15,1.2982,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.6,0.4,,318.15,1.2927,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.6,0.4,,328.15,1.2873,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.6,0.4,,338.15,1.2818,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.6,0.4,,348.15,1.2759,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.6,0.4,,358.15,1.2697,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.667,0.333,,298.15,1.2779,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.667,0.333,,308.15,1.2725,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.667,0.333,,318.15,1.2669,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.667,0.333,,328.15,1.2612,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.667,0.333,,338.15,1.2555,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.667,0.333,,348.15,1.2497,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.667,0.333,,358.15,1.2419,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.714,0.286,,298.15,1.259,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.714,0.286,,308.15,1.2537,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.714,0.286,,318.15,1.2485,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.714,0.286,,328.15,1.2433,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.714,0.286,,338.15,1.2379,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.714,0.286,,348.15,1.2324,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,D-Fructose,,0.714,0.286,,358.15,1.2269,10.1016/j.tca.2012.04.030
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.091,0.909,,293.15,1.10052,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.091,0.909,,303.15,1.09436,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.091,0.909,,313.15,1.08819,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.091,0.909,,323.15,1.08193,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.091,0.909,,333.15,1.07563,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.091,0.909,,343.15,1.06929,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.091,0.909,,353.15,1.06289,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.111,0.889,,293.15,1.10111,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.111,0.889,,303.15,1.09492,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.111,0.889,,313.15,1.08874,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.111,0.889,,323.15,1.08251,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.111,0.889,,333.15,1.07624,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.111,0.889,,343.15,1.06995,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.111,0.889,,353.15,1.0636,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.143,0.857,,293.15,1.10203,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.143,0.857,,303.15,1.09596,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.143,0.857,,313.15,1.08988,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.143,0.857,,323.15,1.08373,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.143,0.857,,333.15,1.07756,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.143,0.857,,343.15,1.07137,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Diethanolamine,,0.143,0.857,,353.15,1.06514,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.091,0.909,,293.15,1.05047,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.091,0.909,,303.15,1.04336,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.091,0.909,,313.15,1.03626,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.091,0.909,,323.15,1.02917,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.091,0.909,,333.15,1.02209,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.091,0.909,,343.15,1.015,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.091,0.909,,353.15,1.00787,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.111,0.889,,293.15,1.05296,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.111,0.889,,303.15,1.04594,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.111,0.889,,313.15,1.03894,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.111,0.889,,323.15,1.03195,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.111,0.889,,333.15,1.02497,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.111,0.889,,343.15,1.018,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.111,0.889,,353.15,1.01101,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.143,0.857,,293.15,1.05559,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.143,0.857,,303.15,1.04868,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.143,0.857,,313.15,1.04179,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.143,0.857,,323.15,1.03493,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.143,0.857,,333.15,1.02808,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.143,0.857,,343.15,1.02125,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Methyldiethanolamine,,0.143,0.857,,353.15,1.01439,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.091,0.909,,293.15,1.04094,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.091,0.909,,303.15,1.03356,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.091,0.909,,313.15,1.02616,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.091,0.909,,323.15,1.01881,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.091,0.909,,333.15,1.01143,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.091,0.909,,343.15,1.00402,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.091,0.909,,353.15,0.99659,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.111,0.889,,293.15,1.04446,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.111,0.889,,303.15,1.03717,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.111,0.889,,313.15,1.02988,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.111,0.889,,323.15,1.02261,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.111,0.889,,333.15,1.01533,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.111,0.889,,343.15,1.00804,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.111,0.889,,353.15,1.00073,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.143,0.857,,293.15,1.05151,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.143,0.857,,303.15,1.04436,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.143,0.857,,313.15,1.03725,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.143,0.857,,323.15,1.03035,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.143,0.857,,333.15,1.02319,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.143,0.857,,343.15,1.01609,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Monoethanolamine,,0.143,0.857,,353.15,1.00889,10.1016/j.molliq.2018.02.085
2,Ⅲ,0,0,1,0,0,Choline chloride,Glycerol,,0.05,0.95,,293,1.242,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Glycerol,,0.1,0.9,,293,1.234,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Glycerol,,0.15,0.85,,293,1.219,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Glycerol,,0.2,0.8,,293,1.21,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Glycerol,,0.25,0.75,,293,1.203,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Glycerol,,0.3,0.7,,293,1.192,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Glycerol,,0.33,0.67,,293,1.181,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,"1,4Butanediol",,0.05,0.95,,293,1.021,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,"1,4Butanediol",,0.1,0.9,,293,1.026,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,"1,4Butanediol",,0.15,0.85,,293,1.036,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,"1,4Butanediol",,0.2,0.8,,293,1.046,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,"1,4Butanediol",,0.25,0.75,,293,1.052,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene Glycol,,0.05,0.95,,293,1.114,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene Glycol,,0.1,0.9,,293,1.115,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene Glycol,,0.15,0.85,,293,1.115,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene Glycol,,0.2,0.8,,293,1.117,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene Glycol,,0.25,0.75,,293,1.118,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene Glycol,,0.3,0.7,,293,1.118,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene Glycol,,0.33,0.67,,293,1.12,10.1021/jp0671998
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,298.15,1.117,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,303.15,1.1141,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,308.15,1.1111,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,313.15,1.1082,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,318.15,1.1052,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,323.15,1.1023,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,328.15,1.0993,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,333.15,1.0962,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,338.15,1.0934,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,343.15,1.0904,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,348.15,1.0875,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,353.15,1.0847,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,358.15,1.0816,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,363.15,1.0788,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.28,0.72,,368.15,1.0757,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,298.15,1.1174,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,303.15,1.1146,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,308.15,1.1117,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,313.15,1.1088,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,318.15,1.1059,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,323.15,1.1036,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,328.15,1.1001,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,333.15,1.0974,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,338.15,1.0944,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,343.15,1.0916,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,348.15,1.0885,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,353.15,1.0854,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,358.15,1.0826,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,363.15,1.0791,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.33,0.67,,368.15,1.0767,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.36,0.64,,298.15,1.118,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.36,0.64,,303.15,1.1156,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.36,0.64,,308.15,1.1122,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.36,0.64,,313.15,1.1097,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.36,0.64,,318.15,1.1064,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.36,0.64,,323.15,1.1037,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.36,0.64,,328.15,1.1006,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.36,0.64,,333.15,1.0968,10.1016/j.tca.2011.10.010
2,Ⅲ,0,0,1,0,0,Choline chloride,Ethylene glycol,,0.36,0.64,,338.15,1.0948,10.1016/j.tca.2011.10.010
