Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),Molar fraction of component#3,I,II,III,IV,V,"Temperature of experiment, K","VdWVolume, A^3#1",Van der Waals volume of component #2,Van der Waals volume of component #3,Number of Heteroatoms,RingCount,InertialShapeFactor,Spherocity Index,Mass fraction of metal ,Li,C,N,O,F,Al,P,S, Cl,K,Fe,Cu,Zn, Br,train/test,"Density, g/cm^3",Reference (DOI),"Density_prediction, g/cm^3"
iron(3+) trichloride,Cetrimide,0,0.5,0.5,0,1,0,0,0,0,298,55.34707342,14.97194669,0,3,0,0.0004934466336,0.4272852181,0.1120022623,0,8.5,0.5,0,0,0,0,0,1.5,0,0.5,0,0,0.5,test,1.23,10.1016/J.MOLLIQ.2018.12.096,1.211891724
iron(3+) trichloride,Cetrimonium bromide,0,0.5,0.5,0,1,0,0,0,0,298,55.34707342,20.25099925,0,3,0,0.0003132884892,0.5903414003,0.1060361524,0,9.5,0.5,0,0,0,0,0,1.5,0,0.5,0,0,0.5,train,1.19,10.1016/J.MOLLIQ.2018.12.096,1.193606213
iron(3+) trichloride,Octadecyltrimethylammonium bromide,0,0.5,0.5,0,1,0,0,0,0,298,55.34707342,25.5300518,0,3,0,0.0003429667172,0.5167305256,0.1006735002,0,10.5,0.5,0,0,0,0,0,1.5,0,0.5,0,0,0.5,train,1.15,10.1016/J.MOLLIQ.2018.12.096,1.147314094
Aluminium chloride anhydrous,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,94.13945951,47.41099925,0,3.334,0.333,0.0004555317599,0.6334434322,0.0933382396,0,6.327,0.333,0,0,0.667,0,0,2.334,0,0,0,0,0,test,1.2007,10.13140/RG.2.2.13424.10245,1.072465337
Cuprymina,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,36.89804895,47.41099925,0,2.667,0.333,0.0006133527957,0.5534233399,0.2189816781,0,6.327,0.333,0,0,0,0,0,1.667,0,0,0.667,0,0,train,1.1939,10.13140/RG.2.2.13424.10245,1.001766596
iron(3+) trichloride,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,55.34707342,47.41099925,0,3.334,0.333,0.0003951573065,0.6364957742,0.1756459831,0,6.327,0.333,0,0,0,0,0,2.334,0,0.667,0,0,0,train,1.2001,10.13140/RG.2.2.13424.10245,1.001072371
EINECS 215-689-5,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,73.7960979,47.41099925,0,4.001,0.333,0.0003347232564,0.58439636,0.2851849724,0,6.327,0.333,0,0,0,0,0,3.001,0,0,0,0,0,test,1.1943,10.13140/RG.2.2.13424.10245,1.049687
zincchloride,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,36.89804895,47.41099925,0,2.667,0.333,0.0006121639867,0.5520830696,0.2239133107,0,6.327,0.333,0,0,0,0,0,1.667,0,0,0,0.667,0,train,1.2014,10.13140/RG.2.2.13424.10245,1.003230342
1-Ethyl-3-methylimidazolium chloride,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,-21.38094745,0,3,1,0.006148581736,0.2955231299,0,0,4,2.5,0,0,0,0,0,0.5,0,0,0,0,0,train,1.16822,10.1021/acssuschemeng.0c04215,1.180373058
1-Ethyl-3-methylimidazolium chloride,1H-Benzotriazole,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,4.377157657,0,3,1.5,0.004627416317,0.3113952978,0,0,6,2.5,0,0,0,0,0,0.5,0,0,0,0,0,train,1.4666,10.1021/acssuschemeng.0c04215,1.288696448
1-Ethyl-3-methylimidazolium chloride,1H-Tetrazole,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,-21.50401478,0,3.5,1,0.006176809367,0.294914881,0,0,3.5,3,0,0,0,0,0,0.5,0,0,0,0,0,test,1.16062,10.1021/acssuschemeng.0c04215,1.168383083
1-Ethyl-3-methylimidazolium chloride,BENZIMIDAZOLE,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,18.97668393,0,2.5,1.5,0.00471517912,0.3064677633,0,0,6.5,2,0,0,0,0,0,0.5,0,0,0,0,0,train,1.1985,10.1021/acssuschemeng.0c04215,1.210139057
1-Ethyl-3-methylimidazolium chloride,imidazole,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,-6.781421172,0,2.5,1,0.006081654602,0.2973099881,0,0,4.5,2,0,0,0,0,0,0.5,0,0,0,0,0,train,1.14956,10.1021/acssuschemeng.0c04215,1.168601989
1-Ethyl-3-methylimidazolium chloride,phenol,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,31.03715766,0,2,1,0.005304429496,0.300412743,0,0,6,1,0.5,0,0,0,0,0.5,0,0,0,0,0,test,1.11071,10.1021/acssuschemeng.0c04215,1.131120172
1-Ethyl-3-methylimidazolium chloride,SUCCINIMIDE,0,0.5,0.5,0,0,0,1,0,0,313.2,-10.82284234,6.758105104,0,3,1,0.005465767059,0.2916121567,0,0,5,1.5,1,0,0,0,0,0.5,0,0,0,0,0,train,1.12093,10.1021/acssuschemeng.0c04215,1.22964526
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,293.15,-24.54378979,-16.00142117,0,3.143,0.143,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,train,1.2982,10.1021/acssuschemeng.9b03245,1.287137699
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,303.15,-24.54378979,-16.00142117,0,3.143,0.143,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,train,1.2917,10.1021/acssuschemeng.9b03245,1.286954642
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,313.15,-24.54378979,-16.00142117,0,3.143,0.143,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,train,1.2851,10.1021/acssuschemeng.9b03245,1.27376139
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,323.15,-24.54378979,-16.00142117,0,3.143,0.143,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,train,1.2786,10.1021/acssuschemeng.9b03245,1.26838308
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,333.15,-24.54378979,-16.00142117,0,3.143,0.143,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,train,1.272,10.1021/acssuschemeng.9b03245,1.26298619
"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,343.15,-24.54378979,-16.00142117,0,3.143,0.143,0.004418820668,0.4945107268,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,train,1.2654,10.1021/acssuschemeng.9b03245,1.248962118
